rented_bike_count,hour,temperature_c,humidity,wind_speed,visibility_10m,dew_point_c,solar_radiation,rainfall_mm,snowfall_cm,season,holiday,functioning_day,year,month,day_of_week,is_weekend,hour_sin,hour_cos,month_sin,month_cos,day_of_week_sin,day_of_week_cos,time_of_day,is_rush_hour,temp_feel,temp_humidity_interaction,wind_rain_interaction,temp_solar_interaction,has_rain,has_snow,is_holiday,is_functioning,is_spring,is_summer,is_autumn,is_winter,extreme_weather
1728,8,27.2,69,1.8,1999,21.0,0.7,0.0,0.0,Summer,No Holiday,Yes,2018,8,4,0,0.8660254037844387,-0.49999999999999983,-0.8660254037844384,-0.5000000000000004,-0.433883739117558,-0.9009688679024191,Morning,1,Warm,18.768,0.0,19.04,0,0,0,1,0,1,0,0,0
822,12,32.6,51,2.1,800,21.1,3.21,0.0,0.0,Summer,No Holiday,Yes,2018,7,4,0,1.2246467991473532e-16,-1.0,-0.4999999999999998,-0.8660254037844388,-0.433883739117558,-0.9009688679024191,Morning,0,Warm,16.626,0.0,104.646,0,0,0,1,0,1,0,0,0
658,14,34.0,50,1.2,1744,22.1,1.68,0.0,0.0,Summer,No Holiday,Yes,2018,8,1,0,-0.4999999999999998,-0.8660254037844388,-0.8660254037844384,-0.5000000000000004,0.7818314824680298,0.6234898018587336,Afternoon,0,Warm,17.0,0.0,57.12,0,0,0,1,0,1,0,0,0
2716,18,16.9,47,1.4,1637,5.5,0.11,0.0,0.0,Autumn,No Holiday,Yes,2018,10,1,0,-1.0,-1.8369701987210297e-16,-0.8660254037844386,0.5000000000000001,0.7818314824680298,0.6234898018587336,Afternoon,1,Mild,7.943,0.0,1.8589999999999998,0,0,0,1,0,0,1,0,0
1083,7,6.4,51,1.0,1398,-3.0,0.19,0.0,0.0,Spring,No Holiday,Yes,2018,4,2,0,0.9659258262890683,-0.25881904510252063,0.8660254037844387,-0.49999999999999983,0.9749279121818236,-0.22252093395631434,Morning,1,Cold,3.2640000000000002,0.0,1.2160000000000002,0,0,0,1,1,0,0,0,0
636,1,28.0,71,0.6,1799,22.2,0.0,0.0,0.0,Summer,No Holiday,Yes,2018,7,6,1,0.25881904510252074,0.9659258262890683,-0.4999999999999998,-0.8660254037844388,-0.7818314824680299,0.6234898018587334,Night,0,Warm,19.88,0.0,0.0,0,0,0,1,0,1,0,0,0
1537,20,31.3,65,2.0,1586,23.9,0.02,0.0,0.0,Summer,No Holiday,Yes,2018,8,0,0,-0.8660254037844386,0.5000000000000001,-0.8660254037844384,-0.5000000000000004,0.0,1.0,Evening,0,Warm,20.345,0.0,0.626,0,0,0,1,0,1,0,0,0
712,22,2.1,41,1.0,1859,-9.8,0.0,0.0,0.0,Autumn,No Holiday,Yes,2018,11,4,0,-0.5000000000000004,0.8660254037844384,-0.5000000000000004,0.8660254037844384,-0.433883739117558,-0.9009688679024191,Evening,0,Cold,0.8610000000000001,0.0,0.0,0,0,0,1,0,0,1,0,0
425,7,26.7,67,0.8,2000,20.0,0.13,0.0,0.0,Summer,No Holiday,Yes,2018,8,5,1,0.9659258262890683,-0.25881904510252063,-0.8660254037844384,-0.5000000000000004,-0.9749279121818236,-0.2225209339563146,Morning,1,Warm,17.889,0.0,3.471,0,0,0,1,0,1,0,0,0
594,1,16.6,53,1.7,2000,6.9,0.0,0.0,0.0,Autumn,No Holiday,Yes,2018,9,2,0,0.25881904510252074,0.9659258262890683,-1.0,-1.8369701987210297e-16,0.9749279121818236,-0.22252093395631434,Night,0,Mild,8.798,0.0,0.0,0,0,0,1,0,0,1,0,0
24,5,17.8,93,1.8,2000,16.6,0.0,0.5,0.0,Autumn,No Holiday,Yes,2018,9,4,0,0.9659258262890683,0.25881904510252074,-1.0,-1.8369701987210297e-16,-0.433883739117558,-0.9009688679024191,Night,0,Mild,16.554000000000002,0.9,0.0,1,0,0,1,0,0,1,0,0
211,3,24.2,70,0.3,2000,18.3,0.0,0.0,0.0,Autumn,No Holiday,Yes,2018,9,0,0,0.7071067811865475,0.7071067811865476,-1.0,-1.8369701987210297e-16,0.0,1.0,Night,0,Warm,16.94,0.0,0.0,0,0,0,1,0,0,1,0,0
242,23,3.9,60,0.9,379,-3.1,0.0,0.0,0.0,Winter,No Holiday,Yes,2018,1,1,0,-0.25881904510252157,0.9659258262890681,0.49999999999999994,0.8660254037844387,0.7818314824680298,0.6234898018587336,Evening,0,Cold,2.34,0.0,0.0,0,0,0,1,0,0,0,1,0
960,16,34.8,47,2.2,1839,21.8,1.32,0.0,0.0,Summer,No Holiday,Yes,2018,7,0,0,-0.8660254037844384,-0.5000000000000004,-0.4999999999999998,-0.8660254037844388,0.0,1.0,Afternoon,0,Warm,16.355999999999998,0.0,45.936,0,0,0,1,0,1,0,0,0
1308,7,24.2,74,0.7,656,19.2,0.35,0.0,0.0,Summer,No Holiday,Yes,2018,7,2,0,0.9659258262890683,-0.25881904510252063,-0.4999999999999998,-0.8660254037844388,0.9749279121818236,-0.22252093395631434,Morning,1,Warm,17.908,0.0,8.469999999999999,0,0,0,1,0,1,0,0,0
933,14,28.3,67,3.0,1242,21.5,1.73,0.0,0.0,Summer,No Holiday,Yes,2018,7,3,0,-0.4999999999999998,-0.8660254037844388,-0.4999999999999998,-0.8660254037844388,0.43388373911755823,-0.900968867902419,Afternoon,0,Warm,18.961000000000002,0.0,48.959,0,0,0,1,0,1,0,0,0
655,6,20.3,71,1.6,2000,14.8,0.0,0.0,0.0,Autumn,No Holiday,Yes,2018,9,3,0,1.0,6.123233995736766e-17,-1.0,-1.8369701987210297e-16,0.43388373911755823,-0.900968867902419,Night,0,Warm,14.413,0.0,0.0,0,0,0,1,0,0,1,0,0
259,10,2.1,60,1.2,1005,-4.8,0.3,0.0,0.0,Winter,No Holiday,Yes,2018,1,5,1,0.49999999999999994,-0.8660254037844387,0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146,Morning,0,Cold,1.26,0.0,0.63,0,0,0,1,0,0,0,1,0
1183,22,18.2,52,1.3,818,8.1,0.0,0.0,0.0,Spring,No Holiday,Yes,2018,4,4,0,-0.5000000000000004,0.8660254037844384,0.8660254037844387,-0.49999999999999983,-0.433883739117558,-0.9009688679024191,Evening,0,Mild,9.464,0.0,0.0,0,0,0,1,1,0,0,0,0
0,14,19.4,53,1.4,2000,9.5,0.68,0.0,0.0,Autumn,No Holiday,No,2018,9,4,0,-0.4999999999999998,-0.8660254037844388,-1.0,-1.8369701987210297e-16,-0.433883739117558,-0.9009688679024191,Afternoon,0,Mild,10.281999999999998,0.0,13.192,0,0,0,0,0,0,1,0,0
630,19,12.7,32,2.3,2000,-3.6,0.01,0.0,0.0,Spring,No Holiday,Yes,2018,3,5,1,-0.9659258262890684,0.2588190451025203,1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146,Evening,1,Mild,4.064,0.0,0.127,0,0,0,1,1,0,0,0,0
1358,17,33.2,55,2.7,1600,22.9,0.55,0.0,0.0,Summer,No Holiday,Yes,2018,8,0,0,-0.9659258262890683,-0.25881904510252063,-0.8660254037844384,-0.5000000000000004,0.0,1.0,Afternoon,1,Warm,18.26,0.0,18.26,0,0,0,1,0,1,0,0,0
1307,9,22.2,48,1.7,1889,10.6,1.77,0.0,0.0,Summer,No Holiday,Yes,2018,6,0,0,0.7071067811865476,-0.7071067811865475,1.2246467991473532e-16,-1.0,0.0,1.0,Morning,1,Warm,10.655999999999999,0.0,39.294,0,0,0,1,0,1,0,0,0
146,1,-5.5,60,1.3,1994,-12.0,0.0,0.0,0.0,Winter,No Holiday,Yes,2018,2,1,0,0.25881904510252074,0.9659258262890683,0.8660254037844386,0.5000000000000001,0.7818314824680298,0.6234898018587336,Night,0,Very_Cold,-3.3,0.0,-0.0,0,0,0,1,0,0,0,1,0
103,3,-1.3,42,0.8,1648,-12.5,0.0,0.0,0.0,Winter,No Holiday,Yes,2018,2,6,1,0.7071067811865475,0.7071067811865476,0.8660254037844386,0.5000000000000001,-0.7818314824680299,0.6234898018587334,Night,0,Very_Cold,-0.546,0.0,-0.0,0,0,0,1,0,0,0,1,0
2495,8,19.0,67,1.1,1976,12.7,1.29,0.0,0.0,Summer,No Holiday,Yes,2018,6,1,0,0.8660254037844387,-0.49999999999999983,1.2246467991473532e-16,-1.0,0.7818314824680298,0.6234898018587336,Morning,1,Mild,12.73,0.0,24.51,0,0,0,1,0,1,0,0,0
2797,18,32.5,28,1.4,2000,11.6,1.06,0.0,0.0,Summer,No Holiday,Yes,2018,8,4,0,-1.0,-1.8369701987210297e-16,-0.8660254037844384,-0.5000000000000004,-0.433883739117558,-0.9009688679024191,Afternoon,1,Warm,9.1,0.0,34.45,0,0,0,1,0,1,0,0,0
292,7,1.3,66,1.1,1534,-4.3,0.0,0.0,0.0,Winter,No Holiday,Yes,2018,2,2,0,0.9659258262890683,-0.25881904510252063,0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.22252093395631434,Morning,1,Cold,0.858,0.0,0.0,0,0,0,1,0,0,0,1,0
995,9,29.4,66,2.5,1308,22.3,0.91,0.0,0.0,Summer,No Holiday,Yes,2018,7,2,0,0.7071067811865476,-0.7071067811865475,-0.4999999999999998,-0.8660254037844388,0.9749279121818236,-0.22252093395631434,Morning,1,Warm,19.404,0.0,26.754,0,0,0,1,0,1,0,0,0
349,20,2.6,86,1.7,676,0.4,0.0,0.0,3.3,Autumn,No Holiday,Yes,2018,11,5,1,-0.8660254037844386,0.5000000000000001,-0.5000000000000004,0.8660254037844384,-0.9749279121818236,-0.2225209339563146,Evening,0,Cold,2.2359999999999998,0.0,0.0,0,1,0,1,0,0,1,0,1
908,20,25.3,89,0.3,745,23.3,0.0,0.0,0.0,Summer,No Holiday,Yes,2018,7,1,0,-0.8660254037844386,0.5000000000000001,-0.4999999999999998,-0.8660254037844388,0.7818314824680298,0.6234898018587336,Evening,0,Warm,22.517000000000003,0.0,0.0,0,0,0,1,0,1,0,0,0
